time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,RSI,Histogram,MACD,Signal,OnBalanceVolume
1576281600,60439206110.1723,61077098920.16321,58171372793.43878,59134511316.86575,61041130779.96718,63352328756.27301,58729932803.66135,71847584489.27016,80451788012.47397,36.03304572317585,201487331.0387869,-1978360417.4640732,-2179847748.50286,1382520636109.863
1576368000,59108578166.13806,60657333813.369125,58117023123.17752,59391590656.054886,61025848670.52159,63376101020.024445,58675596321.01874,72405168946.87949,76166272766.93472,37.25866467497566,195250449.32397985,-1935784686.8478851,-2131035136.171865,1454925805056.7424
1576454400,59387354567.95651,60011087947.90033,54861825324.50098,56271606569.245056,60807095762.05592,63941434969.47252,57672756554.63933,86999031997.47629,76154900039.64139,29.79691075026615,1424086.4931864738,-2129255028.0553818,-2130679114.5485682,1367926773059.266
1576540800,56222433467.29938,56948401704.82999,50642780873.03117,51888630593.70154,60288472017.60333,65211192327.773895,55365751707.43277,96920976503.52534,75963739758.33275,22.86826634317768,-380423468.207294,-2606208449.807686,-2225784981.600392,1271005796555.7407
1576627200,52158630005.20953,58648548583.79233,49814055269.91354,56144895297.48674,60001051012.41811,65179996181.58191,54822105843.25432,130257017083.81372,78471424922.84206,37.95591716919631,-307898764.25624657,-2610658436.9207,-2302759672.6644535,1401262813639.5544
1576713600,56207735879.004974,57245918673.92398,52940744968.87109,54743198688.93512,59549214846.58279,64904387896.69099,54194041796.47459,106310491409.53618,79627603114.5632,35.49357526472805,-314760305.41717386,-2696210054.4359207,-2381449749.018747,1294952322230.0183
1576800000,54781270181.96118,56551418565.25244,53633668763.20642,55698172844.644806,59214500336.63721,64653161570.99905,53775839102.27537,94274117719.6429,80719560344.08931,38.42446409270737,-219905288.75327635,-2656331359.9603424,-2436426071.207066,1389226439949.6611
1576886400,55614221554.72357,56142739379.858826,54284161806.60068,54981376142.85007,58865727692.682106,64448940151.27684,53282515234.08737,80058627612.7169,80799558163.50313,37.063242444329475,-172456062.8650174,-2651996149.7883377,-2479540086.9233203,1309167812336.9443
1576972800,55043071281.003174,58217805515.96765,54193902252.163055,56791751799.34503,58650046513.90896,64203717257.43718,53096375770.38074,95273566646.97545,81961224322.25871,42.594593367275635,4464063.16283226,-2473960007.96978,-2478424071.132612,1404441378983.9197
1577059200,56904300041.57144,58546829863.47833,54060443597.202545,55159671672.46228,58368216985.52002,64028680050.78238,52707753920.25766,112132063944.52979,84374690139.37048,39.245877143687224,33559935.38329315,-2436474151.903496,-2470034087.286789,1292309315039.39
1577145600,55165649779.75479,56640614646.49275,53795408189.69556,55052022863.93536,58140078848.59291,63947082904.22868,52333074792.95714,94943500394.49832,84654218204.36588,39.027929680920735,65686330.95526743,-2387926173.592705,-2453612504.547972,1197365814644.8916
1577232000,55034149294.4964,55501619342.38684,53273717203.49994,54246784216.448395,57807276649.886635,63705010004.450165,51909543295.323105,88176381476.2333,85148910260.17459,37.35673606366496,53359814.85015154,-2386912735.985283,-2440272550.8354344,1109189433168.6582
1577318400,54255703693.69061,56896556327.526276,53483179856.69339,54475577466.35712,57449173814.03336,63241930004.33739,51656417623.72934,93953184469.09026,86172184949.64035,38.16690487541433,79685133.43778706,-2340666134.0382004,-2420351267.4759874,1203142617637.7485
1577404800,54587890056.02002,55803503985.90088,53145732623.94774,55101157785.853775,57125220847.68976,62677317234.576385,51573124460.80313,93979393806.64444,87652877910.48978,40.43527962146007,153997061.77588272,-2227854940.256134,-2381852002.0320168,1297122011444.393
